,Psychrometer
2021-07-15 13:00:00,-1.2941566705703735
2021-07-15 13:30:00,-1.4605841636657715
2021-07-15 14:00:00,-1.3374264240264893
2021-07-15 14:30:00,-1.3875068426132202
2021-07-15 15:00:00,-1.3928536176681519
2021-07-15 15:30:00,-1.3888877630233765
2021-07-15 16:00:00,-1.6383880376815796
2021-07-15 16:30:00,-1.6884684562683105
2021-07-15 17:00:00,-1.6884684562683105
2021-07-15 17:30:00,-1.6884684562683105
2021-07-15 18:00:00,-1.4507498741149902
2021-07-15 18:30:00,-1.1914337873458862
2021-07-15 19:00:00,-0.9500545263290405
2021-07-15 19:30:00,-0.9500545263290405
2021-07-15 20:00:00,-0.9070624113082886
2021-07-15 20:30:00,-0.6538310647010803
2021-07-15 21:00:00,-0.7118333578109741
2021-07-15 21:30:00,-0.6583106517791748
2021-07-15 22:00:00,-0.7889555096626282
2021-07-15 22:30:00,-0.675649106502533
2021-07-15 23:00:00,-0.6249427199363708
2021-07-15 23:30:00,-0.5477233529090881
2021-07-16 00:00:00,-0.5187082886695862
2021-07-16 00:30:00,-0.44670674204826355
2021-07-16 01:00:00,-0.4739856421947479
2021-07-16 01:30:00,-0.4923276901245117
2021-07-16 02:00:00,-0.4739856421947479
2021-07-16 02:30:00,-0.4796905219554901
2021-07-16 03:00:00,-0.4796905219554901
2021-07-16 03:30:00,-0.4980325400829315
2021-07-16 04:00:00,-0.5371226072311401
2021-07-16 04:30:00,-0.575011134147644
2021-07-16 05:00:00,-0.5097164511680603
2021-07-16 05:30:00,-0.5097164511680603
2021-07-16 06:00:00,-0.5097164511680603
2021-07-16 06:30:00,-0.5417629480361938
2021-07-16 07:00:00,-0.580239474773407
2021-07-16 07:30:00,-0.5916194319725037
2021-07-16 08:00:00,-0.5276007652282715
2021-07-16 08:30:00,-0.5928954482078552
2021-07-16 09:00:00,-0.7147119045257568
2021-07-16 09:30:00,-0.6699196100234985
2021-07-16 10:00:00,-0.8654928207397461
2021-07-16 10:30:00,-0.9809693098068237
2021-07-16 11:00:00,-0.9975576400756836
2021-07-16 11:30:00,-0.99332594871521
2021-07-16 12:00:00,-1.034317970275879
2021-07-16 12:30:00,-1.057377576828003
2021-07-16 13:00:00,-1.262133002281189
2021-07-16 13:30:00,-1.2888308763504028
2021-07-16 14:00:00,-1.27256178855896
2021-07-16 14:30:00,-1.2972303628921509
2021-07-16 15:00:00,-1.2972303628921509
2021-07-16 15:30:00,-1.2972303628921509
2021-07-16 16:00:00,-1.1041991710662842
2021-07-16 16:30:00,-1.1041991710662842
2021-07-16 17:00:00,-1.2046873569488525
2021-07-16 17:30:00,-0.9063798785209656
2021-07-16 18:00:00,-0.8398893475532532
2021-07-16 18:30:00,-0.800477921962738
2021-07-16 19:00:00,-0.7611891031265259
2021-07-16 19:30:00,-0.7480651140213013
2021-07-16 20:00:00,-0.7391383647918701
2021-07-16 20:30:00,-0.7303146123886108
2021-07-16 21:00:00,-0.6976416110992432
2021-07-16 21:30:00,-0.622378945350647
2021-07-16 22:00:00,-0.6032847762107849
2021-07-16 22:30:00,-0.6265949010848999
2021-07-16 23:00:00,-0.634393036365509
2021-07-16 23:30:00,-0.5487443804740906
2021-07-17 00:00:00,-0.4983365535736084
2021-07-17 00:30:00,-0.4983365535736084
2021-07-17 01:00:00,-0.4753733277320862
2021-07-17 01:30:00,-0.4729900658130646
2021-07-17 02:00:00,-0.506415605545044
2021-07-17 02:30:00,-0.4746033251285553
2021-07-17 03:00:00,-0.5195027589797974
2021-07-17 03:30:00,-0.47415652871131897
2021-07-17 04:00:00,-0.506084144115448
2021-07-17 04:30:00,-0.4779209494590759
2021-07-17 05:00:00,-0.4779209494590759
2021-07-17 05:30:00,-0.4401257336139679
